domain,block_type,doi,title,attempted_url
figshare.com,html_landing_page,10.1021/acs.inorgchem.5c03943.s001,"Peroxide LigandsSupport Tetranuclear Lanthanide Ensembles:Synthesis, Structure, Magnetism, and Theor",https://figshare.com/articles/journal_contribution/Peroxide_Ligands_Support_Tetranuclear_Lanthanide_Ensembles_Synthesis_Structure_Magnetism_and_Theoretical_Studies/30612662
figshare.com,html_landing_page,10.1021/acs.inorgchem.6c01030.s001,Implicatingthe Role of Enhanced Oxyl Attribute inFacilitating Exceptional C–H Activation by a [Co<su,https://figshare.com/articles/journal_contribution/Implicating_the_Role_of_Enhanced_Oxyl_Attribute_in_Facilitating_Exceptional_C_H_Activation_by_a_Co_sub_2_sub_sup_III_IV_sup_-O_sub_2_sub_Diamond-Core_Complex_A_Theoretical_Perspective/32532283
figshare.com,html_landing_page,10.1021/acs.jctc.5c00519.s001,A Complete ActiveSpace Self-Consistent Field Approachfor Molecules in QED Environments,https://figshare.com/articles/journal_contribution/A_Complete_Active_Space_Self-Consistent_Field_Approach_for_Molecules_in_QED_Environments/29486893
figshare.com,html_landing_page,10.1021/acs.jctc.5c01287.s001,Large-Scale Modelingof Proton-Coupled Electron TransferBased on Block-Localized Kohn–Sham Orbitals,https://figshare.com/articles/journal_contribution/Large-Scale_Modeling_of_Proton-Coupled_Electron_Transfer_Based_on_Block-Localized_Kohn_Sham_Orbitals/30811102
figshare.com,html_landing_page,10.1021/acs.jctc.5c01321.s001,MC25: An AccurateMeta Pair-Density Functional forMulticonfiguration Pair-Density Functional Theory a,https://figshare.com/articles/journal_contribution/MC25_An_Accurate_Meta_Pair-Density_Functional_for_Multiconfiguration_Pair-Density_Functional_Theory_and_Linearized_Pair-Density_Functional_Theory/30491090
figshare.com,html_landing_page,10.1021/acs.jctc.5c01333.s001,Capturing ElectronCorrelation with Machine Learningthrough a Data-Driven CASPT2 Framework,https://figshare.com/articles/journal_contribution/Capturing_Electron_Correlation_with_Machine_Learning_through_a_Data-Driven_CASPT2_Framework/30416806
figshare.com,html_landing_page,10.1021/acs.jctc.5c01336.s001,Density MatrixEmbedding Theory-Based MulticonfigurationalQuantum Chemistry Approach to Lanthanide Si,https://figshare.com/articles/journal_contribution/Density_Matrix_Embedding_Theory-Based_Multiconfigurational_Quantum_Chemistry_Approach_to_Lanthanide_Single-Ion_Magnets/30234040
figshare.com,html_landing_page,10.1021/acs.jctc.9b00768,Heterogeneous CPU + GPU Algorithm for Variational Two-Electron Reduced-Density Matrix-Driven Complet,https://figshare.com/articles/journal_contribution/Heterogeneous_CPU_GPU_Algorithm_for_Variational_Two-Electron_Reduced-Density_Matrix-Driven_Complete_Active-Space_Self-Consistent_Field_Theory/9959441
figshare.com,html_landing_page,10.1021/acs.jctc.9b01178.s001,Global Hybrid Multiconfiguration Pair-Density Functional\nTheory,https://figshare.com/articles/Global_Hybrid_Multiconfiguration_Pair-Density_Functional_Theory/11958864
figshare.com,html_landing_page,10.1021/acs.jctc.9b01297,Automation of Active Space Selection for Multireference Methods via Machine Learning on Chemical Bon,https://figshare.com/articles/journal_contribution/Automation_of_Active_Space_Selection_for_Multireference_Methods_via_Machine_Learning_on_Chemical_Bond_Dissociation/11974167
figshare.com,html_landing_page,10.1021/acs.joc.6c01030.s001,Spiro-Induced Strainas a Design Principle for Long-LivedSinglet Diradicals with π‑Single Bond Charac,https://figshare.com/articles/journal_contribution/Spiro-Induced_Strain_as_a_Design_Principle_for_Long-Lived_Singlet_Diradicals_with_Single_Bond_Character/32739403
figshare.com,html_landing_page,10.1021/acs.jpca.1c07108.s001,Theoretical Studies on the Excited-State Decay Mechanism\nof Homomenthyl Salicylate in a Gas Phase a,https://figshare.com/articles/journal_contribution/Theoretical_Studies_on_the_Excited-State_Decay_Mechanism_of_Homomenthyl_Salicylate_in_a_Gas_Phase_and_an_Acetonitrile_Solution/17702047
figshare.com,html_landing_page,10.1021/acs.jpca.4c08520.s001,Quantum Mechanics/MolecularMechanics Studies on theExcited-State Relaxation Mechanisms of Cytidine A,https://figshare.com/articles/journal_contribution/Quantum_Mechanics_Molecular_Mechanics_Studies_on_the_Excited-State_Relaxation_Mechanisms_of_Cytidine_Analogues_2_-Deoxy-5-Methylcytidine_and_2_-Deoxy-5-Hydroxymethylcytidine_in_Aqueous_Solution/28832470
figshare.com,html_landing_page,10.1021/acs.jpca.5c01107.s001,Strong FerromagneticCoupling between Co and Co<sup>2+</sup> with Odd Electron (Anti)aromaticRadicals,https://figshare.com/articles/journal_contribution/Strong_Ferromagnetic_Coupling_between_Co_and_Co_sup_2_sup_with_Odd_Electron_Anti_aromatic_Radicals_via_Noncovalent_Interaction/29002435
figshare.com,html_landing_page,10.1021/acs.jpca.5c01912.s001,Mechanism of Chemiluminescencein the Air AfterglowReaction,https://figshare.com/articles/journal_contribution/Mechanism_of_Chemiluminescence_in_the_Air_Afterglow_Reaction/28975271
figshare.com,html_landing_page,10.1021/acs.jpca.5c02571.s001,Theoretical Predictionof the Magnetic Blocking Temperatureof Dysprosium-Based Metallofullerene Singl,https://figshare.com/articles/journal_contribution/Theoretical_Prediction_of_the_Magnetic_Blocking_Temperature_of_Dysprosium-Based_Metallofullerene_Single-Molecule_Magnets/30051012
figshare.com,html_landing_page,10.1021/acs.jpca.5c03028.s001,Nonunitary VariationalQuantum Eigensolver with theLocalized Active Space Method and Cost Mitigation,https://figshare.com/articles/journal_contribution/Nonunitary_Variational_Quantum_Eigensolver_with_the_Localized_Active_Space_Method_and_Cost_Mitigation/29930738
figshare.com,html_landing_page,10.1021/acs.jpca.5c03032.s001,Beyond Born–OppenheimerConstructed DiabaticPotential Energy Surfaces for H<sub>3</sub>: Adiabatic an,https://figshare.com/articles/journal_contribution/Beyond_Born_Oppenheimer_Constructed_Diabatic_Potential_Energy_Surfaces_for_H_sub_3_sub_Adiabatic_and_Diabatic_Reaction_Probabilities/29488500
figshare.com,html_landing_page,10.1021/acs.jpca.5c03946.s001,A MultireferencePicture of Electronic Excited Statesin Vanadyl and Copper Tetraphenyl Porphyrin Mole,https://figshare.com/articles/journal_contribution/A_Multireference_Picture_of_Electronic_Excited_States_in_Vanadyl_and_Copper_Tetraphenyl_Porphyrin_Molecular_Qubits/29665165
figshare.com,html_landing_page,10.1021/acs.jpca.5c04699.s001,Time-DependentMulticonfigurational Short-Range DensityFunctional Theory with Generalized Valence Bon,https://figshare.com/articles/journal_contribution/Time-Dependent_Multiconfigurational_Short-Range_Density_Functional_Theory_with_Generalized_Valence_Bond_Wave_Functions/30238261
figshare.com,html_landing_page,10.1021/acs.jpca.5c04929.s001,Quantum Mechanics/MolecularMechanics Study on theExcited-State Relaxation Pathways of 2′-Deoxy-5-Flu,https://figshare.com/articles/journal_contribution/Quantum_Mechanics_Molecular_Mechanics_Study_on_the_Excited-State_Relaxation_Pathways_of_2_-Deoxy-5-Fluorocytidine_in_Aqueous_Solution/30538366
figshare.com,html_landing_page,10.1021/acs.jpca.5c05370.s001,Two Competing Excited-StateIntramolecular ProtonTransfer Pathways in AHMD,https://figshare.com/articles/journal_contribution/Two_Competing_Excited-State_Intramolecular_Proton_Transfer_Pathways_in_AHMD/30649076
figshare.com,html_landing_page,10.1021/acs.jpca.5c05393.s001,Ab Initio Studyof Photodissociation and IsomerizationPathways on the Singlet and Triplet Manifolds o,https://figshare.com/articles/journal_contribution/Ab_Initio_Study_of_Photodissociation_and_Isomerization_Pathways_on_the_Singlet_and_Triplet_Manifolds_of_1_Nitropropene/30569891
figshare.com,html_landing_page,10.1021/acs.jpca.5c05513.s001,"The ElectronicStructure of Boron, Aluminum, and ScandiumMonoxides: BO, AlO, and ScO",https://figshare.com/articles/journal_contribution/The_Electronic_Structure_of_Boron_Aluminum_and_Scandium_Monoxides_BO_AlO_and_ScO/30223570
figshare.com,html_landing_page,10.1021/acs.jpca.5c06689.s001,Role of Cd<sup>2+</sup> and Ag<sup>+</sup> as CodopingSpecies in the Mechanism of the Luminescence A,https://figshare.com/articles/journal_contribution/Role_of_Cd_sup_2_sup_and_Ag_sup_sup_as_Codoping_Species_in_the_Mechanism_of_the_Luminescence_Activation_Deactivation_of_a_Ln_sup_3_sup_UiO-66-_COOH_sub_2_sub_Chemical_Sensor_A_Quantum_Chemistry_Approach/30903235
figshare.com,html_landing_page,10.1021/acs.jpca.5c07496.s001,Theoretical Studyon the Nitrile Substitution Effectin a Schiff Base Derivative: Suppression of Excit,https://figshare.com/articles/journal_contribution/Theoretical_Study_on_the_Nitrile_Substitution_Effect_in_a_Schiff_Base_Derivative_Suppression_of_Excited-State_Intramolecular_Proton_Transfer_and_Dominance_of_Torsional_Decay/30906445
figshare.com,html_landing_page,10.1021/acs.jpca.5c08237.s001,Excited-State RelaxationMechanism of 5‑Hydroxyflavone:A CASPT2 Investigation in the Microsolvated Aq,https://figshare.com/articles/journal_contribution/Excited-State_Relaxation_Mechanism_of_5_Hydroxyflavone_A_CASPT2_Investigation_in_the_Microsolvated_Aqueous_Surrounding/31435739
figshare.com,html_landing_page,10.1021/acs.jpca.6c01999.s001,A Wave Function Theory and Density Functional TheoryInvestigation of Ground and Excited States of Hf,https://figshare.com/articles/journal_contribution/A_Wave_Function_Theory_and_Density_Functional_Theory_Investigation_of_Ground_and_Excited_States_of_HfSi/32576493
figshare.com,html_landing_page,10.1021/acs.jpca.6c02386.s001,"1‑, 2‑,and 3‑Electron PancakeBonds in Covalent Scaffolds: Redox Modulation of Through-Space Exchange",https://figshare.com/articles/journal_contribution/1_2_and_3_Electron_Pancake_Bonds_in_Covalent_Scaffolds_Redox_Modulation_of_Through-Space_Exchange_in_Blatter_Diradicals/32959453
figshare.com,html_landing_page,10.1021/acs.jpca.9b08258,"Relaxation Dynamics of Hydrated Thymine, Thymidine, and Thymidine Monophosphate Probed by Liquid Jet",https://figshare.com/articles/Relaxation_Dynamics_of_Hydrated_Thymine_Thymidine_and_Thymidine_Monophosphate_Probed_by_Liquid_Jet_Time-Resolved_Photoelectron_Spectroscopy/11328029
figshare.com,html_landing_page,10.1021/acs.jpcb.5c06035.s001,QM/MM Studies onPhotoinduced Cycloaddition and (6–4)Reactions of the Thymidine:4-Selenothymidine Dim,https://figshare.com/articles/journal_contribution/QM_MM_Studies_on_Photoinduced_Cycloaddition_and_6_4_Reactions_of_the_Thymidine_4-Selenothymidine_Dimer_in_Aqueous_Solution/30245668
figshare.com,html_landing_page,10.1021/acs.jpclett.5c01270.s001,Hydrogen-BondedComplexes of Methylnitrene,https://figshare.com/articles/journal_contribution/Hydrogen-Bonded_Complexes_of_Methylnitrene/29473446
figshare.com,html_landing_page,10.1021/acs.jpclett.5c02294.s002,"PhotodissociationPathways of Methanol: Dissociation,Roaming, and Migration",https://figshare.com/articles/journal_contribution/Photodissociation_Pathways_of_Methanol_Dissociation_Roaming_and_Migration/30428039
figshare.com,html_landing_page,10.1021/acs.jpclett.5c02294.s003,"PhotodissociationPathways of Methanol: Dissociation,Roaming, and Migration",https://figshare.com/articles/media/Photodissociation_Pathways_of_Methanol_Dissociation_Roaming_and_Migration/30428042
figshare.com,html_landing_page,10.1021/acs.jpclett.5c02294.s004,"PhotodissociationPathways of Methanol: Dissociation,Roaming, and Migration",https://figshare.com/articles/media/Photodissociation_Pathways_of_Methanol_Dissociation_Roaming_and_Migration/30428045
figshare.com,html_landing_page,10.1021/acs.jpclett.5c03195.s001,Nonadiabatic Dynamics of the Molecular Tully Modelswith the Mixed-Reference Spin-Flip Time-Dependent,https://figshare.com/articles/journal_contribution/Nonadiabatic_Dynamics_of_the_Molecular_Tully_Models_with_the_Mixed-Reference_Spin-Flip_Time-Dependent_Density_Functional_Theory/30868412
figshare.com,html_landing_page,10.1021/acs.jpclett.5c03195.s002,Nonadiabatic Dynamics of the Molecular Tully Modelswith the Mixed-Reference Spin-Flip Time-Dependent,https://figshare.com/articles/journal_contribution/Nonadiabatic_Dynamics_of_the_Molecular_Tully_Models_with_the_Mixed-Reference_Spin-Flip_Time-Dependent_Density_Functional_Theory/30868415
figshare.com,html_landing_page,10.1021/acs.jpclett.5c03329.s001,PCA-AssistedSpectral Reconstruction Reveals Speciationof Neodymium(III) DOTA and pDO3A Complexes,https://figshare.com/articles/journal_contribution/PCA-Assisted_Spectral_Reconstruction_Reveals_Speciation_of_Neodymium_III_DOTA_and_pDO3A_Complexes/30729173
figshare.com,html_landing_page,10.1021/acs.jpclett.5c03329.s002,PCA-AssistedSpectral Reconstruction Reveals Speciationof Neodymium(III) DOTA and pDO3A Complexes,https://figshare.com/articles/journal_contribution/PCA-Assisted_Spectral_Reconstruction_Reveals_Speciation_of_Neodymium_III_DOTA_and_pDO3A_Complexes/30729176
figshare.com,html_landing_page,10.1021/acs.organomet.6b00467,A New Supporting Ligand in Actinide Chemistry Leads to Reactive Bis(NHC)borate-Supported Thorium Com,https://figshare.com/articles/journal_contribution/A_New_Supporting_Ligand_in_Actinide_Chemistry_Leads_to_Reactive_Bis_NHC_borate-Supported_Thorium_Complexes/3749802
figshare.com,html_landing_page,10.1021/acs.organomet.6c00039.s001,MolecularOrgano-Dysprosium Polychalcogenides Isolatedfrom Inverse-Sandwich Dysprosium Arene Complexe,https://figshare.com/articles/journal_contribution/Molecular_Organo-Dysprosium_Polychalcogenides_Isolated_from_Inverse-Sandwich_Dysprosium_Arene_Complexes_with_Chalcogens/32915463
figshare.com,html_landing_page,10.1021/acsomega.5c06364.s001,Cr(I)–Cr(I)Terphenyl Bridged Complexes: ABroken-Symmetry DFT and Multideterminant CASSCF/NEVPT2 Hand,https://figshare.com/articles/journal_contribution/Cr_I_Cr_I_Terphenyl_Bridged_Complexes_A_Broken-Symmetry_DFT_and_Multideterminant_CASSCF_NEVPT2_Handshake/30304183
figshare.com,html_landing_page,10.1021/acsomega.5c10105.s001,Electronic Structureand Laser-Cooling Prospects ofthe AlCd Molecule: A Theoretical Study Including S,https://figshare.com/articles/journal_contribution/Electronic_Structure_and_Laser-Cooling_Prospects_of_the_AlCd_Molecule_A_Theoretical_Study_Including_Spin_Orbit_Coupling/32775285
figshare.com,html_landing_page,10.1021/ja045269n,Properties of the Emitting State of the Green Fluorescent Protein Resolved at the CASPT2//CASSCF/CHA,https://figshare.com/articles/journal_contribution/Properties_of_the_Emitting_State_of_the_Green_Fluorescent_Protein_Resolved_at_the_CASPT2_CASSCF_CHARMM_Level/3271249
figshare.com,html_landing_page,10.1021/jacs.5c03770.s001,Photochemistryof Ni(II) Tolyl Chlorides Supportedby Bidentate Ligand Frameworks,https://figshare.com/articles/journal_contribution/Photochemistry_of_Ni_II_Tolyl_Chlorides_Supported_by_Bidentate_Ligand_Frameworks/29051631
figshare.com,html_landing_page,10.1021/jacs.5c11362.s001,A Stable Radical inCationic Dinuclear Rare-EarthTriple-Decker Complexes Featuring Switchable Magneti,https://figshare.com/articles/journal_contribution/A_Stable_Radical_in_Cationic_Dinuclear_Rare-Earth_Triple-Decker_Complexes_Featuring_Switchable_Magnetic_Properties/30401278
figshare.com,html_landing_page,10.1021/jacs.5c12079.s001,Molecular Models ofLayered Ternary Cu<sub>2</sub>MoS<sub>4</sub> Reveal Sulfur-BasedH<sub>2</sub> Ev,https://figshare.com/articles/journal_contribution/Molecular_Models_of_Layered_Ternary_Cu_sub_2_sub_MoS_sub_4_sub_Reveal_Sulfur-Based_H_sub_2_sub_Evolution_Pathway/30239762
figshare.com,html_landing_page,10.1021/jacs.5c15650.s001,Super-reductionof Polyoxometalates: Unlocking theOxidation State of Metalate Centers down to (III),https://figshare.com/articles/journal_contribution/Super-reduction_of_Polyoxometalates_Unlocking_the_Oxidation_State_of_Metalate_Centers_down_to_III_/30581051
figshare.com,html_landing_page,10.1021/jacsau.5c01496.s001,Ultrafast Excited-State Dynamics and Two-Photon Near-InfraredInduced Photodynamic Therapy Performanc,https://figshare.com/articles/journal_contribution/Ultrafast_Excited-State_Dynamics_and_Two-Photon_Near-Infrared_Induced_Photodynamic_Therapy_Performance_of_5_Phenylethynyl-4-thiouridine/32572634
figshare.com,html_landing_page,10.1021/om400528d.s001,"Influence of the Torsion Angle in 3,3′-Dimethyl-2,2′-bipyridine\non the Intermediate Valence of Yb i",https://figshare.com/articles/Influence_of_the_Torsion_Angle_in_3_3_Dimethyl_2_2_bipyridine_on_the_Intermediate_Valence_of_Yb_in_C_sub_5_sub_Me_sub_5_sub_sub_2_sub_Yb_3_3_Me_sub_2_sub_bipy_/2366944
figshare.com,html_landing_page,10.1080/00268976.2017.1371800,An explanation of the very low fluorescence and phosphorescence in pyridine: a CASSCF/CASMP2 study,https://figshare.com/articles/journal_contribution/An_explanation_of_the_very_low_fluorescence_and_phosphorescence_in_pyridine_a_CASSCF_CASMP2_study/5414566
figshare.com,html_landing_page,10.1080/00268976.2019.1706778,A quantum mechanical explanation of the structure of vinyl cation based on a CASSCF/CASMP2 study,https://figshare.com/articles/A_quantum_mechanical_explanation_of_the_structure_of_vinyl_cation_based_on_a_CASSCF_CASMP2_study/11522268
figshare.com,html_landing_page,10.1080/00268976.2020.1752402,The fleeting existence of the classical vinyl cation structure,https://figshare.com/articles/journal_contribution/The_fleeting_existence_of_the_classical_vinyl_cation_structure/12130068
figshare.com,html_landing_page,10.4225/03/58abc58f03aba,The application of multireference quantum chemical methods in mechanistic studies of [4π + 2π] cyclo,https://figshare.com/articles/thesis/The_application_of_multireference_quantum_chemical_methods_in_mechanistic_studies_of_4_2_cycloadditions/4669663
figshare.com,html_landing_page,10.6084/m9.figshare.6112592.v1,On the accuracy of retinal protonated Schiff base models,https://figshare.com/articles/journal_contribution/On_the_accuracy_of_retinal_protonated_Schiff_base_models/6112592
github.com,html_landing_page,10.5281/zenodo.20549029,evangelistalab/forte2: Forte2 v2026.6.4-alpha Release,https://github.com/evangelistalab/forte2/tree/v2026.7.8-alpha
global-sci.org,403_forbidden,10.4208/jams.040115.051015a,Theoretical Investigation of Photoisomerization Mechanisms of N-Salicilydenemethylfurylamine (SMFA),https://global-sci.org/intro/article_detail/auth/8202.html
hal.science,html_landing_page,10.1002/chem.201502997,An Experimental and Theoretical Investigation on Pentacoordinated Cobalt(III) Complexes with an Inte,https://hal.science/hal-01366392
hal.science,html_landing_page,10.1021/acs.organomet.1c00590,Synthesis and Structures of Tris(cyclononatetraenyl) Rare-Earth Complexes [Ln(C<sub>9</sub>H<sub>9</,https://hal.science/hal-03553200
hal.science,html_landing_page,10.1021/jp902028g,Bond Breaking and Bond Making in Tetraoxygen: Analysis of the O<sub>2</sub>(X<sup>3</sup>Σ<sub>g</su,https://hal.science/hal-00875602
hal.science,html_landing_page,10.1039/d1dt00260k,A new class of Dy <sup>III</sup> -SIMs associated with a guanidine-based ligand,https://hal.science/hal-03193285
hal.science,html_landing_page,10.1063/5.0090129,Difficulty of the evaluation of the barrier height of an open-shell transition state between closed ,https://hal.science/hal-03711124
hal.science,html_landing_page,10.1080/00268970701549389,Analytic derivative calculation of electronic<i>g</i>-tensors based on multireference configuration ,https://hal.science/hal-00513126
hal.science,html_landing_page,10.1080/00268970701604689,A BSSE-corrected CASSCF/NEVPT2 procedure. An application to weakly bonded OH..<b><i>π</i></b>heterod,https://hal.science/hal-00513135
hal.science,html_landing_page,10.1139/cjc-2013-0017,Using perturbatively selected configuration interaction in quantum Monte Carlo calculations,https://hal.science/hal-00992090
hdl.handle.net,403_forbidden,10.15278/isms.2021.fj09,AB INITIO STUDY OF THE HIGHLY EXCITED ELECTRONIC STATES OF C&lt;sub&gt;2&lt;/sub&gt; AND ITS PHOTODI,http://hdl.handle.net/2142/111414
hdl.handle.net,403_forbidden,10.15278/isms.2021.tf05,AN &lt;i&gt;AB INITIO&lt;/i&gt; STUDY OF ELECTRONICALLY EXCITED STATES OF SiN AND SO,http://hdl.handle.net/2142/111489
hdl.handle.net,403_forbidden,10.26021/6838,"The role of static and dynamic correlation in molecular electronic structure, spectroscopy, and inte",http://hdl.handle.net/10092/13038
hdl.handle.net,html_landing_page,10.1002/chem.201302910,Tetrathiafulvalene‐Based Mixed‐Valence Acceptor–Donor–Acceptor Triads: A Joint Theoretical and Exper,http://hdl.handle.net/10261/117445
hdl.handle.net,html_landing_page,10.1002/chem.201601457,Lanthanide Tetrazolate Complexes Combining Single‐Molecule Magnet and Luminescence Properties: The E,http://hdl.handle.net/2445/128084
hdl.handle.net,html_landing_page,10.1002/chem.201601741,Rational Design of Lanthanoid Single‐Ion Magnets: Predictive Power of the Theoretical Models,https://hdl.handle.net/10550/79233
hdl.handle.net,html_landing_page,10.1002/chem.201800680,Dative and Electron‐Sharing Bonding in C<sub>2</sub>F<sub>4</sub>,http://hdl.handle.net/10651/49156
hdl.handle.net,html_landing_page,10.1002/cptc.201900056,Diabatization by Localization in the Framework of Configuration Interaction Based on Floating Occupa,http://hdl.handle.net/11568/997716
hdl.handle.net,html_landing_page,10.1002/ejic.202300687,Slow relaxation of magnetization in the Co(II)‐phosphotungstate Keggin polyoxometalate,http://hdl.handle.net/11336/257865
