tier,key,doi,title,status,rows,rows_with_gaps,priority_score,missing_nel,missing_norb,missing_orbital_description,missing_basis_set,missing_software,mining_model,text_available,si_fetched
A-active-space,W2323292453,10.1021/acs.jctc.5b00861,Multireference Character for 4d Transition Metal-Containing Molecules,extracted_partial,1,1,9,1,1,0,1,1,claude-opus-5,yes,no
A-active-space,W2542614087,10.1038/s41467-017-00069-7,Probing ultrafast ππ*/nπ* internal conversion in organic chromophores via K-edge resonant absorption,extracted_partial,1,1,9,1,1,0,1,1,claude-opus-4-8,yes,no
A-active-space,W2559266539,10.1051/epjconf/201713203048,On large amplitude motions of simplest amides in the ground and excited electronic states,extracted_partial,1,1,9,1,1,0,1,1,claude-opus-4-8,yes,no
A-active-space,W2565978403,10.1038/nchem.2692,Actinide covalency measured by pulsed electron paramagnetic resonance spectroscopy,extracted_partial,1,1,9,1,1,0,1,1,claude-opus-4-8,yes,no
A-active-space,W2604466629,10.1021/acs.jpcc.7b02685,Catechol-Ligated Transition Metals: A Quantum Chemical Study on a Promising System for Gas Separation,extracted_partial,1,1,9,1,1,0,1,1,claude-opus-4-8,yes,no
A-active-space,W2624114553,10.1016/j.cplett.2017.05.061,Metastability of the low-lying electronic states of CBr2+: A CASSCF/MRCI study,extracted_partial,1,1,9,1,1,0,1,1,claude-opus-5,yes,no
A-active-space,W2788624090,10.1021/acs.jpca.7b12652,"Hyper Open-Shell Excited Spin States of Transition-Metal Compounds: FeF<sub>2</sub>, FeF<sub>2</sub>···Ethane,",extracted_partial,1,1,9,1,1,0,1,1,claude-opus-4-8,yes,no
A-active-space,W2795860007,10.3847/1538-4357/aab5b9,Photodissociation of CS from Excited Rovibrational Levels,extracted_partial,1,1,9,1,1,1,0,1,gpt-5.6,yes,no
A-active-space,W2891599729,10.1021/acs.jpclett.8b02412,Ab Initio Study of Covalency in the Ground versus Core-Excited States and X-ray Absorption Spectra of Actinide,extracted_partial,1,1,9,1,1,0,1,1,claude-opus-4-8,yes,no
A-active-space,W2901992149,10.1021/acs.inorgchem.8b02700,Experimental and Theoretical Comparison of Transition-Metal and Actinide Tetravalent Schiff Base Coordination ,extracted_partial,1,1,9,1,1,0,1,1,claude-opus-4-8,yes,no
A-active-space,W2998328894,10.26434/chemrxiv.11446224.v1,Resolving the Quadruple Bonding Conundrum in C2 Using Insights Derived from Excited State Potential Energy Sur,extracted_partial,1,1,9,1,1,0,1,1,claude-opus-5,yes,no
A-active-space,W3035867031,10.1002/ejic.202000383,The Emergence of Actinide Cyclobutadienyl Chemistry,extracted_partial,1,1,9,1,1,0,1,1,claude-opus-4-8,yes,no
A-active-space,W3163647550,10.1007/s00214-021-02746-9,Diabatic potential energy curves for the $$^4{\Pi} $$ states of SH,extracted_partial,1,1,9,1,1,0,1,1,gpt-5.6,yes,no
A-active-space,W3167707510,10.1002/ange.202102218,"Isolierung neutraler, mono‐ und dikationischer B<sub>2</sub>P<sub>2</sub>‐Ringe durch Addition eines Diphospha",extracted_partial,1,1,9,1,1,0,1,1,claude-opus-5,yes,no
A-active-space,W3212917821,10.1021/acs.inorgchem.1c02374,Covalency of Trivalent Actinide Ions with Different Donor Ligands: Do Density Functional and Multiconfiguratio,extracted_partial,1,1,9,1,1,0,1,1,claude-opus-4-8,yes,no
A-active-space,W4206978999,10.1021/acs.jctc.1c00566,"Soft X-ray Spectroscopy Simulations with Multiconfigurational Wave Function Theory: Spectrum Completeness, Sub",extracted,1,1,9,1,1,0,1,1,claude-opus-4-8,yes,no
A-active-space,W4285800420,10.1088/1361-6455/ac8213,A comprehensive study of the radiative properties of NO—a first step toward a complete air opacity,extracted,1,1,9,1,1,0,1,1,gpt-5.6,yes,no
A-active-space,W4285818649,10.1039/d2cc03238d,Actinide arene-metalates: 2. A neutral uranium bis(anthracenide) sandwich complex and elucidation of its elect,extracted_partial,1,1,9,1,1,0,1,1,claude-opus-5,yes,no
A-active-space,W4321092762,10.3390/ijms24044001,Understanding the Exchange Interaction between Paramagnetic Metal Ions and Radical Ligands: DFT and Ab Initio ,extracted_partial,1,1,9,1,1,0,1,1,claude-opus-4-8,yes,no
A-active-space,W4388688379,10.1002/jcc.27246,"Electronic structure of Li<sub>1,2,3</sub><sup>+,0,–</sup> and nature of the bonding in Li<sub>2,3</sub><sup>+",extracted_partial,1,1,9,1,1,0,1,1,gpt-5.6,yes,no
A-active-space,W4389565790,10.1021/acsearthspacechem.3c00116,Potential Energy Curves and Ultraviolet Absorption Cross Sections of Sulfur Dimer,extracted_partial,1,1,9,1,1,1,0,1,gpt-5.6,yes,no
A-active-space,W4390291761,10.1039/d3dt03557c,Insight into ferromagnetic interactions in Cu <sup>II</sup> –Ln <sup>III</sup> dimers with a compartmental lig,extracted_partial,1,1,9,1,1,0,1,1,claude-opus-4-8,yes,no
A-active-space,W4394835851,10.1039/d4cp00830h,Photolytic splitting of homodimeric quinone-derived oxetanes studied by ultrafast transient absorption spectro,extracted_partial,1,1,9,1,1,0,1,1,claude-opus-4-8,yes,no
A-active-space,W4407078696,10.31185/jwsm.517,Electronic Structure of Proteins: Exciton Hamiltonian for a Dipeptide,extracted_partial,1,1,9,1,1,0,1,1,claude-opus-4-8,yes,no
A-active-space,W4410219934,10.1021/acs.jpca.5c01107,Strong Ferromagnetic Coupling between Co and Co<sup>2+</sup> with Odd Electron (Anti)aromatic Radicals via Non,extracted_partial,1,1,9,1,1,0,1,1,claude-opus-4-8,yes,yes
A-active-space,W4412068435,10.1021/acs.jctc.5c00519,A Complete Active Space Self-Consistent Field Approach for Molecules in QED Environments,extracted_partial,1,1,9,1,1,0,1,1,claude-opus-4-8,yes,yes
A-active-space,W4414422956,10.1021/acs.jpca.5c05650,Ground and Excited States of 3d and 4d Transition Metals: Computational Insight into Atomic Properties,extracted_partial,1,1,9,1,1,0,1,1,gpt-5.6,yes,no
A-active-space,W7131797215,10.21203/rs.3.rs-6722143/v1,Real-time Crystallographic Capture of Fe–NO Bond Photodissociation in a Nonheme Iron Nitrosyl Complex,extracted_partial,1,1,9,1,1,0,1,1,claude-opus-4-8,yes,no
A-active-space,W2019570753,10.1039/c2sc22013j,Is the bipyridyl thorium metallocene a low-valent thorium complex? A combined experimental and computational s,extracted_partial,1,1,8,1,1,0,1,0,claude-opus-5,yes,no
A-active-space,W2194352041,10.1039/c5sc04461h,Guest-dependent single-ion magnet behaviour in a cobalt( <scp>ii</scp> ) metal–organic framework,extracted_partial,1,1,8,1,1,0,1,0,claude-opus-4-8,yes,no
A-active-space,W2212064569,10.1063/1.4935375,Multireference configuration interaction calculations of the first six ionization potentials of the uranium at,extracted_partial,1,1,8,1,1,0,1,0,gpt-5.6,yes,no
A-active-space,W2278356249,10.1038/ncomms10467,A four-coordinate cobalt(II) single-ion magnet with coercivity and a very high energy barrier,extracted_partial,1,1,8,1,1,0,1,0,claude-opus-4-8,yes,no
A-active-space,W2588800132,10.1039/c6sc05188j,Reversible solvatomagnetic switching in a single-ion magnet from an entatic state,extracted_partial,1,1,8,1,1,0,1,0,claude-opus-4-8,yes,no
A-active-space,W2891343486,10.1039/c8sc02820f,Effects of coordination sphere on unusually large zero field splitting and slow magnetic relaxation in trigona,extracted_partial,1,1,8,1,1,0,1,0,claude-opus-4-8,yes,no
A-active-space,W2900315202,10.1039/c8sc04384a,Rare “Janus”-faced single-molecule magnet exhibiting intramolecular ferromagnetic interactions,extracted_partial,1,1,8,1,1,0,1,0,claude-opus-4-8,yes,no
A-active-space,W2936588650,10.3847/1538-4357/ab1088,Dicarbon Formation in Collisions of Two Carbon Atoms,extracted_partial,1,1,8,1,1,0,1,0,gpt-5.6,yes,no
A-active-space,W2947933838,10.19142/rpq.v6i11.156,CASSCF and MRSDCI Calculations on the Low Energy States of Manganese Mononitride,extracted_partial,1,1,8,1,1,0,1,0,claude-opus-4-8,yes,no
A-active-space,W3022605196,10.1002/ejic.202000143,Ligand Field Theory for Planar Complexes: First Principles Validation of the Critical Effects of Coordination ,extracted_partial,1,1,8,1,1,0,1,0,claude-opus-4-8,yes,no
A-active-space,W3113953953,10.7498/aps.66.103101,Ab initio calculation of the potential curve of B3u- state of O2,extracted_partial,1,1,8,1,1,0,1,0,gpt-5.6,yes,no
A-active-space,W4214930369,10.1063/5.0085081,Photodissociation dynamics of N3+,extracted_partial,1,1,8,1,1,0,1,0,claude-opus-5,yes,no
A-active-space,W4226087386,10.1039/d2qi00275b,Large easy-axis magnetic anisotropy in a series of trigonal prismatic mononuclear cobalt( <scp>ii</scp> ) comp,extracted_partial,1,1,8,1,1,0,1,0,claude-opus-4-8,yes,no
A-active-space,W4311205491,10.1002/jcc.27018,<scp>MoBioTools</scp> : A toolkit to setup quantum mechanics/molecular mechanics calculations,extracted_partial,1,1,8,1,1,0,1,0,claude-opus-4-8,yes,no
A-active-space,W4400678804,10.1039/d4dt01588f,Magnetic behaviour of a spin-canted asymmetric lanthanide quinolate trimer,extracted_partial,1,1,8,1,1,0,1,0,claude-opus-4-8,yes,no
A-active-space,W4410310622,10.1002/adfm.202507144,Heteroatomic Doping Induces High‐Low Spin Isomers in Atomically Precise Au Nanoclusters,extracted_partial,1,1,8,1,1,0,1,0,claude-opus-5,yes,no
A-active-space,W1973087785,10.1063/1.3491264,Theoretical characterization of the SiC3H− anion,extracted_partial,1,1,7,1,1,0,0,1,claude-opus-4-8,yes,no
A-active-space,W2034274286,10.1063/1.2646522,Photodissociation of vibrationally excited SH and SD radicals at 288 and 291nm: The S(D21) channel,extracted_partial,1,1,7,1,1,0,0,1,claude-opus-4-8,yes,no
A-active-space,W2040593414,10.1021/ja8029416,"Structure, Magnetism, and Theoretical Study of a Mixed-Valence Co<sup>II</sup><sub>3</sub>Co<sup>III</sup><sub",extracted_partial,1,1,7,1,1,0,0,1,claude-opus-5,yes,no
A-active-space,W2043319671,10.1063/1.473887,Electronic states and nature of bonding in the molecule MoC by all electron <i>ab initio</i> calculations,extracted_partial,1,1,7,1,1,0,0,1,claude-opus-4-8,yes,no
A-active-space,W2054184880,10.1063/1.4705428,Accurate <i>ab initio</i> potential energy surfaces for the 3<i>A</i>′′ and 3<i>A</i>′ electronic states of th,extracted_partial,1,1,7,1,1,0,0,1,claude-opus-5,yes,no
A-active-space,W2199342085,10.4236/jmp.2015.613194,Electronic Structure of the Cesium Oxide Molecule CsO,extracted_partial,1,1,7,1,1,0,0,1,claude-opus-4-8,yes,no
A-active-space,W2507470918,10.1093/mnras/stw1969,ExoMol line lists – XVIII. The high-temperature spectrum of VO,extracted_partial,1,1,7,1,1,0,0,1,gpt-5.6,yes,no
A-active-space,W2750581623,10.1063/1.4994725,Correlation consistent basis sets for actinides. II. The atoms Ac and Np–Lr,extracted_partial,1,1,7,1,1,0,0,1,gpt-5.6,yes,no
A-active-space,W2886109603,10.1093/mnras/sty2050,ExoMol line lists XXXI: spectroscopy of lowest eights electronic states of C2,extracted_partial,1,1,7,1,1,0,0,1,gpt-5.6,yes,no
A-active-space,W2889906338,10.11606/d.46.2018.tde-21092018-100103,Estudo Teórico da Espécie BeMg,extracted_partial,1,1,7,1,1,0,0,1,gpt-5.6,yes,no
A-active-space,W3015435412,10.1021/acs.jctc.0c00613,Optimal Orbital Selection for Full Configuration Interaction (OptOrbFCI): Pursuing the Basis Set Limit under a,extracted_partial,1,1,7,1,1,0,0,1,claude-opus-4-8,yes,no
A-active-space,W3088435364,10.48550/arxiv.2009.12472,How will quantum computers provide an industrially relevant computational advantage in quantum chemistry?,extracted_partial,1,1,7,1,1,0,0,1,claude-opus-4-8,yes,no
A-active-space,W3214891742,10.48550/arxiv.2111.04859,ExoMol line lists -- XLIV. IR and UV line list for silicon monoxide (SiO),extracted,1,1,7,1,1,0,0,1,gpt-5.6,yes,no
A-active-space,W4387745042,10.1021/acs.jpca.3c05559,Quantification of the Ionic Character of Multiconfigurational Wave Functions: The <i>Q</i><sub>a</sub><sup>t</,extracted,1,1,7,1,1,0,0,1,claude-opus-4-8,yes,no
A-active-space,W4392978793,10.1007/s00894-024-05881-9,"Theoretical study of the photoisomerization of 1,2-bispyrazinyl-ethylene and the halogen ion salts of 1-Pyrazi",extracted_partial,1,1,7,1,1,0,0,1,claude-opus-4-8,yes,no
A-active-space,W4393307687,10.1021/acs.jpclett.4c00826,Chemical Aristocracy: He<sub>3</sub> Dication and Analogous Noble-Gas-Exclusive Covalent Compounds,extracted_partial,1,1,7,1,1,0,0,1,claude-opus-5,yes,no
A-active-space,W4402117967,10.1021/acs.inorgchem.4c01901,"Structure, Covalency, and Paramagnetism of Homoleptic Actinide and Lanthanide Amidinate Complexes",extracted_partial,1,1,7,1,1,0,0,1,claude-opus-4-8,yes,no
A-active-space,W4412094238,10.3390/molecules30132874,Electronic Structure of the Ground and Low-Lying States of MoLi,extracted_partial,1,1,7,1,1,0,0,1,claude-opus-4-8,yes,no
A-active-space,W7122469767,10.1021/acs.jpca.5c06695,The Electronic Structure of Planar Rhombic Co <sub>2</sub> O <sub>2</sub>,extracted_partial,1,1,7,1,1,0,0,1,claude-opus-4-8,yes,no
A-active-space,W7160164708,10.3390/inorganics14050126,Computational Investigation of Ionization Energies and Absorption Spectra of Metallocenes: Effect of the Metal,extracted_partial,1,1,7,1,1,0,0,1,claude-opus-5,yes,no
A-active-space,W1564664773,10.1063/1.1554271,"Potential energy functions of the X 2B1, Ã 2B2, B 2A1, and C 2A2 states of Cl2O+ and the X 1A1 state of Cl2O: ",extracted_partial,1,1,6,1,1,0,0,0,claude-opus-4-8,yes,no
A-active-space,W1577239455,10.1063/1.1398103,Simulation of Ã 1B1→X 1A1 CF2 single vibronic level emissions: Including anharmonic and Duschinsky effects,extracted_partial,1,1,6,1,1,0,0,0,claude-opus-4-8,yes,no
A-active-space,W1590019190,10.14201/gredos.22603,"Superficies de energía potencial MRCI y dinámica de las reacciones químicas F(²?)+OH(²?)-&gt;HF(¹?)+O(³?, ¹D, ",extracted_partial,1,1,6,1,1,0,0,0,claude-opus-5,yes,no
A-active-space,W1767664413,10.1016/j.cplett.2012.06.011,"Ab initio potential curves for the <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si62.gif"" ",extracted,1,1,6,1,0,0,1,1,gpt-5.6,yes,no
A-active-space,W1983150522,10.1002/cphc.201200999,Photodissociation of ClNO in the 2 <sup>1</sup>A′ State: Computational and Experimental NO Product State Distr,extracted_partial,1,1,6,1,1,0,0,0,claude-opus-5,yes,no
A-active-space,W1994189865,10.1016/j.chemphys.2012.01.009,The radical SeCl: A theoretical contribution to the characterization of its low-lying electronic states,extracted,1,1,6,1,1,0,0,0,gpt-5.6,yes,no
A-active-space,W1997682199,10.1007/s00214-010-0726-6,The low-lying electronic states of BeAs: a first principles characterization,extracted,1,1,6,1,1,0,0,0,gpt-5.6,yes,no
A-active-space,W2002420765,10.1021/om400528d,"Influence of the Torsion Angle in 3,3′-Dimethyl-2,2′-bipyridine on the Intermediate Valence of Yb in (C<sub>5<",extracted_partial,1,1,6,1,1,0,0,0,claude-opus-5,yes,yes
A-active-space,W2027933049,10.1063/1.472857,An <i>ab</i> <i>initio</i> benchmark study of the H+CO→HCO reaction,extracted_partial,1,1,6,1,1,0,0,0,claude-opus-5,yes,no
A-active-space,W2058084523,10.1016/j.cplett.2011.12.021,A theoretical contribution characterizing a potentially new molecular species: MgAs,extracted,1,1,6,1,1,0,0,0,gpt-5.6,yes,no
A-active-space,W2069788998,10.1016/s0009-2614(99)00711-3,Excited state structure of 4-(dimethylamino)benzonitrile studied by femtosecond mid-infrared spectroscopy and ,extracted_partial,1,1,6,1,1,0,0,0,claude-opus-5,yes,no
A-active-space,W2077195574,10.1051/0004-6361:20000149,Radiative transitions in TiO: Ab initio oscillator strengths and lifetimes for low-lying electronic states,extracted_partial,1,1,6,1,1,0,0,0,gpt-5.6,yes,no
A-active-space,W2080079019,10.1080/00268976.2012.697585,"The search for a potentially new molecular species, SiAs: A theoretical contribution",extracted,1,1,6,1,1,0,0,0,gpt-5.6,yes,no
A-active-space,W2089533823,10.1063/1.1427714,Photodissociation of O2 in the Herzberg continuum. I. <i>Ab initio</i> calculation of potential energy curves ,extracted_partial,1,1,6,1,1,0,0,0,claude-opus-4-8,yes,no
A-active-space,W2139367368,10.1063/1.1411998,Towards multireference equivalents of the G2 and G3 methods,extracted_partial,1,1,6,1,1,0,0,0,claude-opus-5,yes,no
A-active-space,W2147041323,10.1111/j.1365-2958.2008.06311.x-i1,"The radiative association of Si and N atoms, C and O atoms, and C atoms and S+ ions",extracted_partial,1,1,6,1,1,0,0,0,claude-opus-4-8,yes,no
A-active-space,W2223984243,10.1039/c5cp07452e,Ammonia-modified Co( <scp>ii</scp> ) sites in zeolites: spin and electron density redistribution through the C,extracted_partial,1,1,6,1,1,0,0,0,claude-opus-4-8,yes,no
A-active-space,W2255339198,10.1088/0953-4075/48/18/185104,Potential energy curves and generalized oscillator strength for doubly excited states of hydrogen molecule,extracted,1,1,6,1,0,0,1,1,gpt-5.6,yes,no
A-active-space,W2379539743,10.1063/1.4948648,Simulation of the single-vibronic-level emission spectra of HAsO and DAsO,extracted_partial,1,1,6,1,1,0,0,0,claude-opus-5,yes,no
A-active-space,W2507307044,10.5539/mas.v10n11p192,Dipole Moment and Electronic Structure Calculations of the Electronic States of the Molecule SiC below 97000cm,extracted_partial,1,1,6,0,1,0,1,1,claude-opus-4-8,yes,no
A-active-space,W2520570608,10.1080/00268976.2016.1225994,<i>Ab initio</i>calculations to support accurate modelling of the rovibronic spectroscopy calculations of vana,extracted_partial,1,1,6,1,1,0,0,0,claude-opus-4-8,yes,no
A-active-space,W2571067588,10.1016/j.cplett.2017.01.013,"Electronic states and spectroscopic parameters of selenium monoiodide, SeI: A theoretical contribution",extracted,1,1,6,1,1,0,0,0,gpt-5.6,yes,no
A-active-space,W2612923944,10.5539/mas.v12n3p132,Electronic Structure and Dipole Moment Calculations of the Electronic States of the Molecule ZnS,extracted_partial,1,1,6,0,1,0,1,1,claude-opus-4-8,yes,no
A-active-space,W2730611881,10.1039/c7sc01998j,Assessing crystal field and magnetic interactions in diuranium-μ-chalcogenide triamidoamine complexes with U <,extracted_partial,1,1,6,1,0,0,1,1,claude-opus-4-8,yes,no
A-active-space,W2787215940,10.1021/acs.jctc.7b01072,Understanding and Calibrating Density-Functional-Theory Calculations Describing the Energy and Spectroscopy of,extracted_partial,1,1,6,1,1,0,0,0,claude-opus-5,yes,yes
A-active-space,W2800209943,10.1139/cjc-2018-0047,Computational investigations of 18-electron triatomic sulfur–nitrogen anions,extracted_partial,1,1,6,1,1,0,0,0,claude-opus-5,yes,no
A-active-space,W2885895997,10.1038/s41467-018-05587-6,Field- and temperature-dependent quantum tunnelling of the magnetisation in a large barrier single-molecule ma,extracted_partial,1,1,6,1,0,0,1,1,claude-opus-4-8,yes,no
A-active-space,W2920386459,10.1016/j.cplett.2019.03.004,A high-level theoretical characterization of the electronic states and spectroscopic parameters of SrBr2+ and ,extracted,1,1,6,1,1,0,0,0,gpt-5.6,yes,no
A-active-space,W2954895401,10.1021/acs.jctc.9b00370,Ab Initio Calculations for Spin-Gaps of Non-Heme Iron Complexes,extracted,1,1,6,1,0,0,1,1,claude-opus-4-8,yes,no
A-active-space,W2963416637,10.1002/qua.26132,Electronic structure of first and second row atoms under harmonic confinement,extracted,1,1,6,1,0,0,1,1,gpt-5.6,yes,no
A-active-space,W2972343939,10.1021/acsomega.9b01759,Electronic Structure Calculations with the Spin Orbit Effect of the Low-Lying Electronic States of the YbBr Mo,extracted,1,1,6,0,1,0,1,1,gpt-5.6,yes,no
A-active-space,W2983740210,10.1021/acs.jctc.9b00925,Second-Order Exchange-Dispersion Energy Based on a Multireference Description of Monomers,extracted,3,3,6,0,1,0,0,3,claude-opus-4-8,yes,no
A-active-space,W3035037872,10.1016/j.cplett.2020.137706,"Electronic structure, spectroscopic properties, and bonding in a thermodynamically stable transition metal-con",extracted,1,1,6,1,1,0,0,0,gpt-5.6,yes,no
A-active-space,W3133614479,10.1016/j.cplett.2021.138514,"Electronic states and spectroscopic parameters of the iodocarbyne cation, CI+",extracted,1,1,6,1,1,0,0,0,gpt-5.6,yes,no
A-active-space,W3166859828,10.1039/d1cp01695d,"Exploring the electronic states of the hydroxyl dication OH <sup>2+</sup> : thermodynamic (meta)stability, bou",extracted,1,1,6,1,1,0,0,0,gpt-5.6,yes,no
A-active-space,W3197593438,10.1021/acs.jpca.1c05409,"Reactions of U<sup>+</sup> with H<sub>2</sub>, D<sub>2</sub>, and HD Studied by Guided Ion Beam Tandem Mass Sp",extracted_partial,1,1,6,1,1,0,0,0,claude-opus-4-8,yes,no
A-active-space,W3211156757,10.1021/acs.jpca.1c06402,Toward a Generalized Hückel Rule: The Electronic Structure of Carbon Nanocones,extracted,1,1,6,1,1,0,0,0,claude-opus-4-8,yes,no
A-active-space,W4223935424,10.1002/jcc.26856,On the highest oxidation states of the actinoids in <scp>AnO<sub>4</sub></scp> molecules (An = Ac – Cm): A DMR,extracted_partial,1,1,6,1,0,0,1,1,claude-opus-5,yes,no
A-active-space,W4280645434,10.1021/acs.jctc.2c00221,Dispersion Interactions in Exciton-Localized States. Theory and Applications to π–π* and n−π* Excited States,extracted_partial,3,1,6,1,1,0,0,0,claude-opus-4-8,yes,no
A-active-space,W4293762069,10.1039/d2sc03592h,Assembling diuranium complexes in different states of charge with a bridging redox-active ligand,extracted_partial,1,1,6,1,1,0,0,0,claude-opus-4-8,yes,no
